"District id"	"Helsinki should be an example of reducing carbon dioxide emissions"	"Local wind power should be produced in Helsinki"	"Construction of wind turbines would have a positive impact on Helsinki's image."	"Construction of wind turbines would have a positive impact on the landscape of Helsinki's."	"How often do you spend your free time on the shores of Helsinki?"	"How often do you spend your free time at the waters of Helsinki?"	"What do you feel if wind turbines would be visible to sea lanes that approach Helsinki?"	"What do you feel if wind turbines could be seen from the ramparts of Suomenlinna?"	"What do you feel if wind turbines would be built at the port and power plant areas of Helsinki?"	"What do you feel if wind turbines would be built on the landfills (Malminkartano tai vuosaari) of Helsinki?"	"What do you feel if wind turbines would be built at the outer territorial waters (8-10 km from the coastline) of Helsinki?"	"What do you feel if wind turbines would be built at the inner archipelago (4-5 km from coastline) of Helsinki?"	"What do you feel if wind turbines would be built at shores (1-2 km from coastline) of Helsinki?"	"I would like to influence the placement of wind turbines in Helsinki"	"I would like to buy local wind power in Helsinki, even if cheaper electricity would be available from elsewhere"	"I would like to participate in the construction of wind power as an investor (eg funds, shareholdings)."	"District name"	"Finnish speaking"	"Swedish speaking"	"Foreign language speaking"	"Born in Helsinki"	"0-6 years old"	"Mean family size"	"Basic education"	"Secondary education"	"High education"	"Mean income"	"Childern in child-care allowance"	"Unemployment rate"	"Households without cars"	"SDP"	"KOK"	"VIHR"	"RKP"	"VASL"	"PS"	"MUUT"
"101"	0.934579439252336	0.691588785046729	0.672897196261682	0.289719626168224	3.30841121495327	1.79439252336449	0.794392523364486	0.457943925233645	0.700934579439252	0.785046728971963	0.794392523364486	0.177570093457944	0.0467289719626168	1.1214953271028	0.532710280373832	-0.186915887850467	"Vironniemen peruspiiri"	83.3	9.6	7.1	38.65	6.39	2.5	15.42	27.44	57.14	43306	14.8	7.78	54.36	9.6	36.77	21.95	9.81	7.93	5.36	8.58
"102"	1.22784810126582	0.924050632911392	0.949367088607595	0.449367088607595	3.36075949367089	1.84177215189873	0.854430379746835	0.487341772151899	0.740506329113924	0.715189873417722	0.829113924050633	0.322784810126582	0.164556962025316	1.11392405063291	0.443037974683544	-0.0379746835443038	"Ullanlinnan peruspiiri"	76	16.2	7.8	39.56	6.14	2.5	15.27	29.4	55.33	50023	14	8.89	56.44	6.57	38.6	20.04	17.49	6.5	3.94	6.86
"103"	1.13333333333333	0.966666666666667	0.976190476190476	0.414285714285714	3.06190476190476	1.69047619047619	0.923809523809524	0.628571428571429	0.9	0.823809523809524	0.70952380952381	0.352380952380952	0.195238095238095	1.0952380952381	0.457142857142857	-0.0380952380952381	"Kampinmalmin peruspiiri"	80.5	9	10.5	35.14	6.25	2.5	16.95	30.62	52.43	37080	17.1	8.76	60.52	9.29	36.84	21.55	10.08	7.49	5.68	9.07
"104"	1.32558139534884	1.16279069767442	1.13953488372093	0.604651162790698	3.16279069767442	1.32558139534884	1.30232558139535	0.906976744186046	1.16279069767442	0.976744186046512	1.34883720930233	0.720930232558139	0.325581395348837	1.25581395348837	0.767441860465116	0.27906976744186	"Taka-Töölön peruspiiri"	83.2	9.8	7	35.65	5.25	2.4	15.03	29.45	55.51	38009	17.3	8.28	60.06	8.57	37.17	22.62	10.32	7.47	4.98	8.87
"105"	1.30188679245283	0.924528301886792	0.971698113207547	0.169811320754717	3.57547169811321	1.57547169811321	0.867924528301887	0.5	0.735849056603774	0.80188679245283	0.943396226415094	0.377358490566038	-0.150943396226415	1.12264150943396	0.386792452830189	0.0188679245283019	"Lauttasaaren peruspiiri"	78.8	14.1	7.1	40.4	7.98	2.6	15.98	25.8	58.22	38560	16.4	7.77	48.06	8.33	39.27	18.17	14.19	4.45	6.18	9.41
"201"	1.30434782608696	0.782608695652174	1.01449275362319	0.318840579710145	3.11594202898551	1.34782608695652	0.927536231884058	0.579710144927536	0.971014492753623	0.927536231884058	0.927536231884058	0.420289855072464	0	0.884057971014493	0.608695652173913	-0.0869565217391304	"Reijolan peruspiiri"	81.9	7.3	10.8	38.74	6.93	2.7	19.97	31.99	48.04	29283	18.6	11.07	61.19	12.83	27.38	22.94	7.92	9.95	7.72	11.3
"202"	1.29310344827586	0.844827586206897	0.879310344827586	0.241379310344828	3.36206896551724	1.5	0.862068965517241	0.53448275862069	0.862068965517241	0.775862068965517	0.931034482758621	0.482758620689655	-0.0172413793103448	1.12068965517241	0.413793103448276	-0.155172413793103	"Munkkiniemen peruspiiri"	81.9	11.1	6.9	43.25	6.83	2.7	17.85	27.09	55.06	40269	16.7	8.45	50.3	9.21	39.51	17.09	11.87	5.15	6.59	10.58
"203"	1.47222222222222	1.20833333333333	1.29166666666667	0.680555555555556	2.625	1.20833333333333	1.25	0.875	1.15277777777778	0.930555555555556	1.34722222222222	0.694444444444444	0.486111111111111	1.02777777777778	0.611111111111111	0.0416666666666667	"Haagan peruspiiri"	82.4	6.4	11.1	36.8	6.37	2.6	24.39	32.29	43.33	26948	20.6	10.82	58.66	14.75	25.46	20.11	6.76	8.56	10.14	14.2
"204"	1.55172413793103	1.31034482758621	1.24137931034483	0.758620689655172	2.55172413793103	1.13793103448276	1.13793103448276	0.931034482758621	1.31034482758621	1.03448275862069	1.20689655172414	0.793103448275862	0.620689655172414	0.517241379310345	0.482758620689655	-0.413793103448276	"Pitäjänmäen peruspiiri"	80.7	4.1	15.2	38.48	8.1	2.7	27.48	34.42	38.1	26212	24	12.37	49.4	16.68	25.71	17.64	4.84	7.21	13.62	14.3
"205"	0.435897435897436	0.461538461538462	0.307692307692308	-0.358974358974359	2.58974358974359	1.61538461538462	0.358974358974359	0.0256410256410256	0.461538461538462	0.256410256410256	0.538461538461538	-0.0256410256410256	-0.307692307692308	1.12820512820513	-0.0769230769230769	-0.641025641025641	"Kaarelan peruspiiri"	77.5	3.5	18.9	40.14	7.5	2.7	31.29	36.63	32.08	23914	21.4	13.02	49.81	20.21	20.15	15.16	4.52	9.13	16.45	14.38
