"Zip"	"Helsinki should be an example of reducing carbon dioxide emissions"	"Local wind power should be produced in Helsinki"	"Construction of wind turbines would have a positive impact on Helsinki's image."	"Construction of wind turbines would have a positive impact on the landscape of Helsinki's."	"How often do you spend your free time on the shores of Helsinki?"	"How often do you spend your free time at the waters of Helsinki?"	"What do you feel if wind turbines would be visible to sea lanes that approach Helsinki?"	"What do you feel if wind turbines could be seen from the ramparts of Suomenlinna?"	"What do you feel if wind turbines would be built at the port and power plant areas of Helsinki?"	"What do you feel if wind turbines would be built on the landfills (Malminkartano tai vuosaari) of Helsinki?"	"What do you feel if wind turbines would be built at the outer territorial waters (8-10 km from the coastline) of Helsinki?"	"What do you feel if wind turbines would be built at the inner archipelago (4-5 km from coastline) of Helsinki?"	"What do you feel if wind turbines would be built at shores (1-2 km from coastline) of Helsinki?"	"I would like to influence the placement of wind turbines in Helsinki"	"I would like to buy local wind power in Helsinki, even if cheaper electricity would be available from elsewhere"	"I would like to participate in the construction of wind power as an investor (eg funds, shareholdings)."
"00000"	1.83333333333333	1.33333333333333	1.33333333333333	0.5	2.5	2	1	0.833333333333333	1.33333333333333	0.833333333333333	1	0.833333333333333	0.833333333333333	0.833333333333333	-0.166666666666667	-0.333333333333333
"00100"	0.867088607594937	0.791139240506329	0.727848101265823	0.329113924050633	2.84177215189873	1.75316455696203	0.746835443037975	0.474683544303797	0.740506329113924	0.639240506329114	0.411392405063291	0.139240506329114	0.107594936708861	1.10126582278481	0.246835443037975	-0.113924050632911
"00120"	1.53846153846154	1.30769230769231	1.35384615384615	0.861538461538462	3.13846153846154	1.93846153846154	1.29230769230769	1.03076923076923	1.24615384615385	0.861538461538462	1.06153846153846	0.753846153846154	0.676923076923077	1.07692307692308	0.876923076923077	0.0769230769230769
"00130"	0.818181818181818	1.09090909090909	0.818181818181818	0.909090909090909	3.54545454545455	2.18181818181818	0.909090909090909	0.181818181818182	0.636363636363636	0.818181818181818	0.909090909090909	0.181818181818182	0.181818181818182	1	-0.363636363636364	-1.09090909090909
"00140"	0.95	0.4	0.45	-0.375	3.5	1.8	0.425	-0.075	0.2	0.575	0.4	-0.175	-0.325	1.125	0.075	-0.025
"00150"	1.05454545454545	0.836363636363636	0.890909090909091	0.4	3.32727272727273	1.6	0.636363636363636	0.381818181818182	0.618181818181818	0.454545454545455	0.781818181818182	0.163636363636364	-0.163636363636364	1.18181818181818	0.309090909090909	-0.163636363636364
"00160"	0.714285714285714	0.714285714285714	0.678571428571429	0.214285714285714	3.57142857142857	1.67857142857143	0.785714285714286	0.214285714285714	0.428571428571429	0.678571428571429	0.821428571428571	0	0	1.21428571428571	0.392857142857143	-0.535714285714286
"00170"	1.14893617021277	0.659574468085106	0.702127659574468	0.170212765957447	3.51063829787234	1.78723404255319	0.808510638297872	0.553191489361702	0.787234042553192	0.978723404255319	0.957446808510638	0.191489361702128	-0.0212765957446809	1.31914893617021	0.851063829787234	0.0638297872340425
"00180"	1.52083333333333	1.1875	1.29166666666667	0.604166666666667	3.4375	1.5625	1.22916666666667	0.875	1.04166666666667	1.16666666666667	1.33333333333333	0.854166666666667	0.354166666666667	0.958333333333333	0.708333333333333	0.1875
"00190"	1.83333333333333	1	1.33333333333333	1	3.5	3.33333333333333	1.16666666666667	0.5	1.33333333333333	1.66666666666667	0.833333333333333	0.333333333333333	0.5	0.833333333333333	1	0
"00200"	1.3875	1	1.0375	0.2125	3.5	1.4375	0.9625	0.6125	0.875	0.925	1.1125	0.5	-0.05	1.0875	0.5625	0.125
"00210"	1.03846153846154	0.692307692307692	0.769230769230769	0.0384615384615385	3.80769230769231	2	0.576923076923077	0.153846153846154	0.307692307692308	0.423076923076923	0.423076923076923	0	-0.461538461538462	1.23076923076923	-0.153846153846154	-0.307692307692308
"00220"	1.88235294117647	1.47058823529412	1.52941176470588	0.882352941176471	3.64705882352941	1.47058823529412	1.41176470588235	1.11764705882353	1.58823529411765	1.47058823529412	1.47058823529412	1	0.705882352941177	0.823529411764706	1.17647058823529	0.235294117647059
"00230"	2	-1	-2	-2	4	2	-2	-2	-1	-2	-2	-2	-2	2	-1	-2
"00240"	2	1.77777777777778	1.55555555555556	0.833333333333333	3	1.11111111111111	1.72222222222222	1.27777777777778	1.88888888888889	1.55555555555556	1.72222222222222	1.33333333333333	1.05555555555556	0.388888888888889	1.38888888888889	0.333333333333333
"00250"	1.31578947368421	1.13157894736842	1.07894736842105	0.552631578947368	3.13157894736842	1.39473684210526	1.18421052631579	0.842105263157895	1.31578947368421	1.07894736842105	1.23684210526316	0.736842105263158	0.526315789473684	1.15789473684211	0.763157894736842	0.184210526315789
"00260"	1.3	1.15	1.25	0.6	3	1.1	1.4	0.75	1	0.85	1.45	0.6	0.05	1.25	0.6	0.4
"00270"	1.32	0.52	1	0.04	3	1.24	0.96	0.68	0.88	0.84	1.08	0.32	-0.08	0.88	0.52	-0.36
"00280"	1.5	1.375	1.375	0.75	3	1.5	1.25	0.75	1.25	1.125	0.75	0.75	-0.125	0.5	0.75	0.75
"00300"	1.30434782608696	0.739130434782609	0.869565217391304	0.347826086956522	3.30434782608696	1.47826086956522	0.695652173913043	0.434782608695652	0.782608695652174	0.826086956521739	0.739130434782609	0.304347826086957	-0.0434782608695652	0.869565217391304	0.652173913043478	-0.260869565217391
"00310"	2	2	2	1.5	3	1.5	2	1	2	2	2	1	1	1	1	0.5
"00320"	1.58064516129032	1.51612903225806	1.41935483870968	0.806451612903226	2.74193548387097	1.38709677419355	1.29032258064516	0.935483870967742	1.48387096774194	1.03225806451613	1.54838709677419	0.709677419354839	0.548387096774194	1.06451612903226	0.67741935483871	0.0645161290322581
"00330"	1.47368421052632	1	1	0.315789473684211	3.60526315789474	1.60526315789474	1	0.631578947368421	0.973684210526316	1.02631578947368	1.07894736842105	0.684210526315789	0.0789473684210526	1.05263157894737	0.552631578947368	-0.131578947368421
"00340"	-1.25	-1.25	-1	-1.75	3.25	1.5	-1.25	-1.25	-2	-2	-1.25	-1.75	-2	1.75	-1.75	-2
"00350"	1.6	1.2	1.1	0.75	2.7	1.15	1.2	0.95	1.25	0.9	1.05	0.7	0.5	1.15	0.75	0.1
"00360"	2	1	1.66666666666667	0.666666666666667	3.66666666666667	2	1	1	1.66666666666667	1	1	1	0.666666666666667	0	1.66666666666667	0.333333333333333
"00370"	1.28571428571429	1.28571428571429	1.42857142857143	1.14285714285714	2.42857142857143	0.857142857142857	1.42857142857143	1.28571428571429	1.28571428571429	1	1.28571428571429	1.14285714285714	0.714285714285714	-0.142857142857143	1	0
"00380"	1.44444444444444	1.44444444444444	1	1	2.66666666666667	1.22222222222222	1	0.666666666666667	1.11111111111111	1.11111111111111	0.888888888888889	0.777777777777778	0.666666666666667	0.666666666666667	0.444444444444444	-0.555555555555556
"00390"	1.7	1.3	1.2	0.3	2.2	1	1.1	0.9	1.4	1	1.5	0.5	0.5	1	-0.2	-0.8
