District	Finnish speaking	Swedish speaking	Foreign language speaking	Born in Helsinki	0-6 years old	Mean family size	Basic education	Secondary education	High education	Mean income	Childern in child-care allowance	Unemployment rate	Households without cars	Alko per 1000	SDP	KOK	VIHR	RKP	VASL	PS	MUUT
Helsinki	80,2	5,7	14	40,8	7,2	2,7	26,7	33,1	40,2	 29 197   	20,0	12,4	53,3	0,05730586	15,5	26,0	18,8	6,9	9,9	11,3	11,7
1    Eteläinen suurpiiri        	79,8	11,8	8,3	37,7	6,5	2,5	15,9	28,9	55,2	 41 106   	16,0	8,4	56,3	0,13621009	8,4	37,8	20,7	12,6	6,7	5,3	8,6
101   Vironniemen peruspiiri    	83,3	9,6	7,1	38,6	6,4	2,5	15,4	27,4	57,1	 43 306   	14,8	7,8	54,4	0,240346098	9,6	36,8	22,0	9,8	7,9	5,4	8,6
102   Ullanlinnan peruspiiri    	76,0	16,2	7,8	39,6	6,1	2,5	15,3	29,4	55,3	 50 023   	14,0	8,9	56,4	0,164156441	6,6	38,6	20,0	17,5	6,5	3,9	6,9
103   Kampinmalmin peruspiiri   	80,5	9	10,5	35,1	6,3	2,5	17,0	30,6	52,4	 37 080   	17,1	8,8	60,5	0,141187101	9,3	36,8	21,6	10,1	7,5	5,7	9,1
104   Taka-Töölön peruspiiri    	83,2	9,8	7	35,6	5,3	2,4	15,0	29,5	55,5	 38 009   	17,3	8,3	60,1	0,13119916	8,6	37,2	22,6	10,3	7,5	5,0	8,9
105   Lauttasaaren peruspiiri   	78,8	14,1	7,1	40,4	8,0	2,6	16,0	25,8	58,2	 38 560   	16,4	7,8	48,1	0,044214529	8,3	39,3	18,2	14,2	4,5	6,2	9,4
2    Läntinen suurpiiri         	80,7	6,2	13,1	39,3	7,1	2,7	24,9	32,8	42,3	 28 641   	20,5	11,3	54,2	0,04669188	14,9	27,2	18,6	7,1	8,1	11,1	13,1
201   Reijolan peruspiiri       	81,9	7,3	10,8	38,7	6,9	2,7	20,0	32,0	48,0	 29 283   	18,6	11,1	61,2	0,057454754	12,8	27,4	22,9	7,9	10,0	7,7	11,3
202   Munkkiniemen peruspiiri   	81,9	11,1	6,9	43,3	6,8	2,7	17,9	27,1	55,1	 40 269   	16,7	8,5	50,3	0,056724715	9,2	39,5	17,1	11,9	5,2	6,6	10,6
203   Haagan peruspiiri         	82,4	6,4	11,1	36,8	6,4	2,6	24,4	32,3	43,3	 26 948   	20,6	10,8	58,7	0	14,8	25,5	20,1	6,8	8,6	10,1	14,2
204   Pitäjänmäen peruspiiri    	80,7	4,1	15,2	38,5	8,1	2,7	27,5	34,4	38,1	 26 212   	24,0	12,4	49,4	0,111588462	16,7	25,7	17,6	4,8	7,2	13,6	14,3
205   Kaarelan peruspiiri 	77,5	3,5	18,9	40,1	7,5	2,7	31,3	36,6	32,1	 23 914   	21,4	13,0	49,8	0,036553716	20,2	20,2	15,2	4,5	9,1	16,5	14,4
3    Keskinen suurpiiri         	86,1	4,4	9,5	34,3	5,8	2,4	21,5	36,7	41,8	 26 885   	20,1	12,2	67,9	0,055104312	14,5	17,2	26,9	4,6	18,1	8,6	10,2
301   Kallion peruspiiri        	87,1	4	8,9	29,1	3,8	2,3	19,0	37,2	43,8	 28 545   	18,3	12,3	72,2	0,034402092	13,1	18,6	28,6	4,2	18,2	7,5	10,0
