ID	Zip	Age	Sex	Helsinki should be an example of reducing carbon dioxide emissions	Local wind power should be produced in Helsinki	Construction of wind turbines would have a positive impact on Helsinki's image.	Construction of wind turbines would have a positive impact on the landscape of Helsinki's.	How often do you spend your free time on the shores of Helsinki?	How often do you spend your free time at the waters of Helsinki?	What do you feel if wind turbines would be visible to sea lanes that approach Helsinki?	What do you feel if wind turbines could be seen from the ramparts of Suomenlinna?	What do you feel if wind turbines would be built at the port and power plant areas of Helsinki?	What do you feel if wind turbines would be built on the landfills (Malminkartano tai vuosaari) of Helsinki?	What do you feel if wind turbines would be built at the outer territorial waters (8-10 km from the coastline) of Helsinki?	What do you feel if wind turbines would be built at the inner archipelago (4-5 km from coastline) of Helsinki?	What do you feel if wind turbines would be built at shores (1-2 km from coastline) of Helsinki?	I would like to influence the placement of wind turbines in Helsinki	I would like to buy local wind power in Helsinki, even if cheaper electricity would be available from elsewhere	I would like to participate in the construction of wind power as an investor (eg funds, shareholdings).
50	ZIP_00530	32	m	2	0	2	2	4	1	2	2	2	1	2	1	1	1	0	0
56	ZIP_00440	53	m	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1
57	ZIP_00730	31	m	2	2	2	2	2	1	2	2	2	2	2	2	2	-1	2	1
58	ZIP_20100	64	m	2	2	2	2	2	1	2	2	-1	2	2	2	-2	2	2	2
59	ZIP_00100	25	n	2	2	2	0	3	2	2	2	2	2	2	1	-1	1	2	1
60	ZIP_00140	31	m	2	2	2	1	4	2	2	2	2	1	2	2	2	1	1	2
61	ZIP_00940	52	n	0	-1	-2	0	4	1	0	-2	1	1	-2	-2	-2	2	-2	0
62	ZIP_02130	32	m	2	-2	-2	-2	2	2	-1	-1	-1	1	-1	-1	-2	1	-2	-2
63	ZIP_00170	26	m	2	1	2	1	4	2	2	2	2	2	2	2	2	0	2	0
64	ZIP_00390	76	n	2	2	2	2	0	0	2	2	2	2	2	2	2	2	-2	-2
65	ZIP_00530	36	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
66	ZIP_00980	39	n	2	2	2	2	4	1	2	2	2	2	2	2	2	1	-1	1
67	ZIP_00150	29	m	2	2	2	2	4	2	2	2	2	2	2	2	2	1	2	0
